Finish kernel   0: [2, 55827]
          warp 25: [2, 3, 0, 1]
          warp 26: [2, 3, 0, 1]
          warp 27: [2, 3, 0, 1]
          warp 28: [2, 3, 0, 1]
          warp 29: [2, 3, 0, 1]
          warp 30: [2, 3, 0, 1]
          warp 31: [2, 3, 0, 1]
Finish block   14: [7, 2, 3, 0, 0, 0]
          warp  0: [2, 3, 0, 1]
          warp  1: [2, 3, 0, 1]
          warp  2: [2, 3, 0, 1]
          warp  3: [2, 3, 0, 1]
          warp  4: [2, 3, 0, 1]
          warp  5: [2, 3, 0, 1]
          warp  6: [2, 3, 0, 1]
          warp  7: [2, 3, 0, 1]
          warp  8: [2, 3, 0, 1]
          warp  9: [2, 3, 0, 1]
          warp 10: [2, 3, 0, 1]
          warp 11: [2, 3, 0, 1]
          warp 12: [2, 3, 0, 1]
          warp 13: [2, 3, 0, 1]
          warp 14: [2, 3, 0, 1]
          warp 15: [2, 3, 0, 1]
          warp 16: [2, 3, 0, 1]
          warp 17: [2, 3, 0, 1]
          warp 18: [2, 3, 0, 1]
          warp 19: [2, 3, 0, 1]
          warp 20: [2, 3, 0, 1]
          warp 21: [2, 3, 0, 1]
          warp 22: [2, 3, 0, 1]
          warp 23: [2, 3, 0, 1]
          warp 24: [2, 3, 0, 1]
          warp 25: [2, 3, 0, 1]
          warp 26: [2, 3, 0, 1]
          warp 27: [2, 3, 0, 1]
          warp 28: [2, 3, 0, 1]
          warp 29: [2, 3, 0, 1]
          warp 30: [2, 3, 0, 1]
          warp 31: [2, 3, 0, 1]
Finish block    7: [3, 2, 4, 0, 0, 0]
          warp 32: [2, 4, 0, 2]
          warp 33: [2, 4, 0, 2]
          warp 34: [2, 4, 0, 2]
          warp 35: [2, 4, 0, 2]
          warp 36: [2, 4, 0, 2]
          warp 37: [2, 4, 0, 2]
          warp 38: [2, 4, 0, 2]
          warp 39: [2, 4, 0, 2]
          warp 40: [2, 4, 0, 2]
          warp 41: [2, 4, 0, 2]
          warp 42: [2, 4, 0, 2]
          warp 43: [2, 4, 0, 2]
          warp 44: [2, 4, 0, 2]
          warp 45: [2, 4, 0, 2]
          warp 46: [2, 4, 0, 2]
          warp 47: [2, 4, 0, 2]
          warp 48: [2, 4, 0, 2]
          warp 49: [2, 4, 0, 2]
          warp 50: [2, 4, 0, 2]
          warp 51: [2, 4, 0, 2]
          warp 52: [2, 4, 0, 2]
          warp 53: [2, 4, 0, 2]
          warp 54: [2, 4, 0, 2]
          warp 55: [2, 4, 0, 2]
          warp 56: [2, 4, 0, 2]
          warp 57: [2, 4, 0, 2]
          warp 58: [2, 4, 0, 2]
          warp 59: [2, 4, 0, 2]
          warp 60: [2, 4, 0, 2]
          warp 61: [2, 4, 0, 2]
          warp 62: [2, 4, 0, 2]
          warp 63: [2, 4, 0, 2]
Finish block    9: [4, 2, 4, 0, 0, 0]
          warp 32: [2, 4, 0, 2]
          warp 33: [2, 4, 0, 2]
          warp 34: [2, 4, 0, 2]
          warp 35: [2, 4, 0, 2]
          warp 36: [2, 4, 0, 2]
          warp 37: [2, 4, 0, 2]
          warp 38: [2, 4, 0, 2]
          warp 39: [2, 4, 0, 2]
          warp 40: [2, 4, 0, 2]
          warp 41: [2, 4, 0, 2]
          warp 42: [2, 4, 0, 2]
          warp 43: [2, 4, 0, 2]
          warp 44: [2, 4, 0, 2]
          warp 45: [2, 4, 0, 2]
          warp 46: [2, 4, 0, 2]
          warp 47: [2, 4, 0, 2]
          warp 48: [2, 4, 0, 2]
          warp 49: [2, 4, 0, 2]
          warp 50: [2, 4, 0, 2]
          warp 51: [2, 4, 0, 2]
          warp 52: [2, 4, 0, 2]
          warp 53: [2, 4, 0, 2]
          warp 54: [2, 4, 0, 2]
          warp 55: [2, 4, 0, 2]
          warp 56: [2, 4, 0, 2]
          warp 57: [2, 4, 0, 2]
          warp 58: [2, 4, 0, 2]
          warp 59: [2, 4, 0, 2]
          warp 60: [2, 4, 0, 2]
          warp 61: [2, 4, 0, 2]
          warp 62: [2, 4, 0, 2]
          warp 63: [2, 4, 0, 2]
Finish block   11: [5, 2, 4, 0, 0, 0]
          warp 32: [2, 4, 0, 2]
          warp 33: [2, 4, 0, 2]
          warp 34: [2, 4, 0, 2]
          warp 35: [2, 4, 0, 2]
          warp 36: [2, 4, 0, 2]
          warp 37: [2, 4, 0, 2]
          warp 38: [2, 4, 0, 2]
          warp 39: [2, 4, 0, 2]
          warp 40: [2, 4, 0, 2]
          warp 41: [2, 4, 0, 2]
          warp 42: [2, 4, 0, 2]
          warp 43: [2, 4, 0, 2]
          warp 44: [2, 4, 0, 2]
          warp 45: [2, 4, 0, 2]
          warp 46: [2, 4, 0, 2]
          warp 47: [2, 4, 0, 2]
          warp 48: [2, 4, 0, 2]
          warp 49: [2, 4, 0, 2]
          warp 50: [2, 4, 0, 2]
          warp 51: [2, 4, 0, 2]
          warp 52: [2, 4, 0, 2]
          warp 53: [2, 4, 0, 2]
          warp 54: [2, 4, 0, 2]
          warp 55: [2, 4, 0, 2]
          warp 56: [2, 4, 0, 2]
          warp 57: [2, 4, 0, 2]
          warp 58: [2, 4, 0, 2]
          warp 59: [2, 4, 0, 2]
          warp 60: [2, 4, 0, 2]
          warp 61: [2, 4, 0, 2]
          warp 62: [2, 4, 0, 2]
          warp 63: [2, 4, 0, 2]
Finish block   13: [6, 2, 4, 0, 0, 0]
          warp 32: [2, 4, 0, 2]
          warp 33: [2, 4, 0, 2]
          warp 34: [2, 4, 0, 2]
          warp 35: [2, 4, 0, 2]
          warp 36: [2, 4, 0, 2]
          warp 37: [2, 4, 0, 2]
          warp 38: [2, 4, 0, 2]
          warp 39: [2, 4, 0, 2]
          warp 40: [2, 4, 0, 2]
          warp 41: [2, 4, 0, 2]
          warp 42: [2, 4, 0, 2]
          warp 43: [2, 4, 0, 2]
          warp 44: [2, 4, 0, 2]
          warp 45: [2, 4, 0, 2]
          warp 46: [2, 4, 0, 2]
          warp 47: [2, 4, 0, 2]
          warp 48: [2, 4, 0, 2]
          warp 49: [2, 4, 0, 2]
          warp 50: [2, 4, 0, 2]
          warp 51: [2, 4, 0, 2]
          warp 52: [2, 4, 0, 2]
          warp 53: [2, 4, 0, 2]
          warp 54: [2, 4, 0, 2]
          warp 55: [2, 4, 0, 2]
          warp 56: [2, 4, 0, 2]
          warp 57: [2, 4, 0, 2]
          warp 58: [2, 4, 0, 2]
          warp 59: [2, 4, 0, 2]
          warp 60: [2, 4, 0, 2]
          warp 61: [2, 4, 0, 2]
          warp 62: [2, 4, 0, 2]
          warp 63: [2, 4, 0, 2]
Finish block   15: [7, 2, 4, 0, 0, 0]
          warp 32: [2, 4, 0, 2]
          warp 33: [2, 4, 0, 2]
          warp 34: [2, 4, 0, 2]
          warp 35: [2, 4, 0, 2]
          warp 36: [2, 4, 0, 2]
          warp 37: [2, 4, 0, 2]
          warp 38: [2, 4, 0, 2]
          warp 39: [2, 4, 0, 2]
          warp 40: [2, 4, 0, 2]
          warp 41: [2, 4, 0, 2]
          warp 42: [2, 4, 0, 2]
          warp 43: [2, 4, 0, 2]
          warp 44: [2, 4, 0, 2]
          warp 45: [2, 4, 0, 2]
          warp 46: [2, 4, 0, 2]
          warp 47: [2, 4, 0, 2]
          warp 48: [2, 4, 0, 2]
          warp 49: [2, 4, 0, 2]
          warp 50: [2, 4, 0, 2]
          warp 51: [2, 4, 0, 2]
          warp 52: [2, 4, 0, 2]
          warp 53: [2, 4, 0, 2]
          warp 54: [2, 4, 0, 2]
          warp 55: [2, 4, 0, 2]
          warp 56: [2, 4, 0, 2]
          warp 57: [2, 4, 0, 2]
          warp 58: [2, 4, 0, 2]
          warp 59: [2, 4, 0, 2]
          warp 60: [2, 4, 0, 2]
          warp 61: [2, 4, 0, 2]
          warp 62: [2, 4, 0, 2]
          warp 63: [2, 4, 0, 2]
Finish block    0: [0, 2, 55826, 3072, 3072, 4096]
          warp  0: [2, 55826, 55823, 1]
          warp  1: [2, 55826, 55823, 1]
          warp  2: [2, 55826, 55823, 1]
          warp  3: [2, 55826, 55823, 1]
          warp  4: [2, 55826, 55823, 1]
          warp  5: [2, 55826, 55823, 1]
          warp  6: [2, 55826, 55823, 1]
          warp  7: [2, 55826, 55823, 1]
          warp  8: [2, 55826, 55823, 1]
          warp  9: [2, 55826, 55823, 1]
          warp 10: [2, 55826, 55823, 1]
          warp 11: [2, 55826, 55823, 1]
          warp 12: [2, 55826, 55823, 1]
          warp 13: [2, 55826, 55823, 1]
          warp 14: [2, 55826, 55823, 1]
          warp 15: [2, 55826, 55823, 1]
          warp 16: [2, 55826, 55823, 1]
          warp 17: [2, 55826, 55823, 1]
          warp 18: [2, 55826, 55823, 1]
          warp 19: [2, 55826, 55823, 1]
          warp 20: [2, 55826, 55823, 1]
          warp 21: [2, 55826, 55823, 1]
          warp 22: [2, 55826, 55823, 1]
          warp 23: [2, 55826, 55823, 1]
          warp 24: [2, 55826, 55823, 1]
          warp 25: [2, 55826, 55823, 1]
          warp 26: [2, 55826, 55823, 1]
          warp 27: [2, 55826, 55823, 1]
          warp 28: [2, 55826, 55823, 1]
          warp 29: [2, 55826, 55823, 1]
          warp 30: [2, 55826, 55823, 1]
          warp 31: [2, 55826, 55823, 1]
Finish block    2: [1, 2, 55826, 3072, 3072, 4096]
          warp  0: [2, 55826, 55823, 1]
          warp  1: [2, 55826, 55823, 1]
          warp  2: [2, 55826, 55823, 1]
          warp  3: [2, 55826, 55823, 1]
          warp  4: [2, 55826, 55823, 1]
          warp  5: [2, 55826, 55823, 1]
          warp  6: [2, 55826, 55823, 1]
          warp  7: [2, 55826, 55823, 1]
          warp  8: [2, 55826, 55823, 1]
          warp  9: [2, 55826, 55823, 1]
          warp 10: [2, 55826, 55823, 1]
          warp 11: [2, 55826, 55823, 1]
          warp 12: [2, 55826, 55823, 1]
          warp 13: [2, 55826, 55823, 1]
          warp 14: [2, 55826, 55823, 1]
          warp 15: [2, 55826, 55823, 1]
          warp 16: [2, 55826, 55823, 1]
          warp 17: [2, 55826, 55823, 1]
          warp 18: [2, 55826, 55823, 1]
          warp 19: [2, 55826, 55823, 1]
          warp 20: [2, 55826, 55823, 1]
          warp 21: [2, 55826, 55823, 1]
          warp 22: [2, 55826, 55823, 1]
          warp 23: [2, 55826, 55823, 1]
          warp 24: [2, 55826, 55823, 1]
          warp 25: [2, 55826, 55823, 1]
          warp 26: [2, 55826, 55823, 1]
          warp 27: [2, 55826, 55823, 1]
          warp 28: [2, 55826, 55823, 1]
          warp 29: [2, 55826, 55823, 1]
          warp 30: [2, 55826, 55823, 1]
          warp 31: [2, 55826, 55823, 1]
Finish block    4: [2, 2, 55826, 1824, 1824, 2432]
          warp  0: [2, 55826, 55823, 1]
          warp  1: [2, 55826, 55823, 1]
          warp  2: [2, 55826, 55823, 1]
          warp  3: [2, 55826, 55823, 1]
          warp  4: [2, 55826, 55823, 1]
          warp  5: [2, 55826, 55823, 1]
          warp  6: [2, 55826, 55823, 1]
          warp  7: [2, 55826, 55823, 1]
          warp  8: [2, 55826, 55823, 1]
          warp  9: [2, 55826, 55823, 1]
          warp 10: [2, 55826, 55823, 1]
          warp 11: [2, 55826, 55823, 1]
          warp 12: [2, 55826, 55823, 1]
          warp 13: [2, 55826, 55823, 1]
          warp 14: [2, 55826, 55823, 1]
          warp 15: [2, 55826, 55823, 1]
          warp 16: [2, 55826, 55823, 1]
          warp 17: [2, 55826, 55823, 1]
          warp 18: [2, 55826, 55823, 1]
          warp 19: [2, 55826, 0, 55824]
          warp 20: [2, 55826, 0, 55824]
          warp 21: [2, 55826, 0, 55824]
          warp 22: [2, 55826, 0, 55824]
          warp 23: [2, 55826, 0, 55824]
          warp 24: [2, 55826, 0, 55824]
          warp 25: [2, 55826, 0, 55824]
          warp 26: [2, 55826, 0, 55824]
          warp 27: [2, 55826, 0, 55824]
          warp 28: [2, 55826, 0, 55824]
          warp 29: [2, 55826, 0, 55824]
          warp 30: [2, 55826, 0, 55824]
          warp 31: [2, 55826, 0, 55824]
Finish block    1: [0, 2, 55827, 3072, 3072, 4096]
          warp 32: [2, 55827, 55823, 2]
          warp 33: [2, 55827, 55823, 2]
          warp 34: [2, 55827, 55823, 2]
          warp 35: [2, 55827, 55823, 2]
          warp 36: [2, 55827, 55823, 2]
          warp 37: [2, 55827, 55823, 2]
          warp 38: [2, 55827, 55823, 2]
          warp 39: [2, 55827, 55823, 2]
          warp 40: [2, 55827, 55823, 2]
          warp 41: [2, 55827, 55823, 2]
          warp 42: [2, 55827, 55823, 2]
          warp 43: [2, 55827, 55823, 2]
          warp 44: [2, 55827, 55823, 2]
          warp 45: [2, 55827, 55823, 2]
          warp 46: [2, 55827, 55823, 2]
          warp 47: [2, 55827, 55823, 2]
          warp 48: [2, 55827, 55823, 2]
          warp 49: [2, 55827, 55823, 2]
          warp 50: [2, 55827, 55823, 2]
          warp 51: [2, 55827, 55823, 2]
          warp 52: [2, 55827, 55823, 2]
          warp 53: [2, 55827, 55823, 2]
          warp 54: [2, 55827, 55823, 2]
          warp 55: [2, 55827, 55823, 2]
          warp 56: [2, 55827, 55823, 2]
          warp 57: [2, 55827, 55823, 2]
          warp 58: [2, 55827, 55823, 2]
          warp 59: [2, 55827, 55823, 2]
          warp 60: [2, 55827, 55823, 2]
          warp 61: [2, 55827, 55823, 2]
          warp 62: [2, 55827, 55823, 2]
          warp 63: [2, 55827, 55823, 2]
Finish block    3: [1, 2, 55827, 3072, 3072, 4096]
          warp 32: [2, 55827, 55823, 2]
          warp 33: [2, 55827, 55823, 2]
          warp 34: [2, 55827, 55823, 2]
          warp 35: [2, 55827, 55823, 2]
          warp 36: [2, 55827, 55823, 2]
          warp 37: [2, 55827, 55823, 2]
          warp 38: [2, 55827, 55823, 2]
          warp 39: [2, 55827, 55823, 2]
          warp 40: [2, 55827, 55823, 2]
          warp 41: [2, 55827, 55823, 2]
          warp 42: [2, 55827, 55823, 2]
          warp 43: [2, 55827, 55823, 2]
          warp 44: [2, 55827, 55823, 2]
          warp 45: [2, 55827, 55823, 2]
          warp 46: [2, 55827, 55823, 2]
          warp 47: [2, 55827, 55823, 2]
          warp 48: [2, 55827, 55823, 2]
          warp 49: [2, 55827, 55823, 2]
          warp 50: [2, 55827, 55823, 2]
          warp 51: [2, 55827, 55823, 2]
          warp 52: [2, 55827, 55823, 2]
          warp 53: [2, 55827, 55823, 2]
          warp 54: [2, 55827, 55823, 2]
          warp 55: [2, 55827, 55823, 2]
          warp 56: [2, 55827, 55823, 2]
          warp 57: [2, 55827, 55823, 2]
          warp 58: [2, 55827, 55823, 2]
          warp 59: [2, 55827, 55823, 2]
          warp 60: [2, 55827, 55823, 2]
          warp 61: [2, 55827, 55823, 2]
          warp 62: [2, 55827, 55823, 2]
          warp 63: [2, 55827, 55823, 2]
Finish kernel   1: [55828, 111631]
Finish block   18: [1, 55828, 55829, 0, 0, 0]
          warp  0: [55828, 55829, 0, 1]
          warp  1: [55828, 55829, 0, 1]
          warp  2: [55828, 55829, 0, 1]
          warp  3: [55828, 55829, 0, 1]
          warp  4: [55828, 55829, 0, 1]
          warp  5: [55828, 55829, 0, 1]
          warp  6: [55828, 55829, 0, 1]
          warp  7: [55828, 55829, 0, 1]
          warp  8: [55828, 55829, 0, 1]
          warp  9: [55828, 55829, 0, 1]
          warp 10: [55828, 55829, 0, 1]
          warp 11: [55828, 55829, 0, 1]
          warp 12: [55828, 55829, 0, 1]
          warp 13: [55828, 55829, 0, 1]
          warp 14: [55828, 55829, 0, 1]
          warp 15: [55828, 55829, 0, 1]
          warp 16: [55828, 55829, 0, 1]
          warp 17: [55828, 55829, 0, 1]
          warp 18: [55828, 55829, 0, 1]
          warp 19: [55828, 55829, 0, 1]
          warp 20: [55828, 55829, 0, 1]
          warp 21: [55828, 55829, 0, 1]
          warp 22: [55828, 55829, 0, 1]
          warp 23: [55828, 55829, 0, 1]
          warp 24: [55828, 55829, 0, 1]
          warp 25: [55828, 55829, 0, 1]
          warp 26: [55828, 55829, 0, 1]
          warp 27: [55828, 55829, 0, 1]
          warp 28: [55828, 55829, 0, 1]
          warp 29: [55828, 55829, 0, 1]
          warp 30: [55828, 55829, 0, 1]
          warp 31: [55828, 55829, 0, 1]
Finish block   20: [2, 55828, 55829, 0, 0, 0]
          warp  0: [55828, 55829, 0, 1]
          warp  1: [55828, 55829, 0, 1]
          warp  2: [55828, 55829, 0, 1]
          warp  3: [55828, 55829, 0, 1]
          warp  4: [55828, 55829, 0, 1]
          warp  5: [55828, 55829, 0, 1]
          warp  6: [55828, 55829, 0, 1]
          warp  7: [55828, 55829, 0, 1]
          warp  8: [55828, 55829, 0, 1]
          warp  9: [55828, 55829, 0, 1]
          warp 10: [55828, 55829, 0, 1]
          warp 11: [55828, 55829, 0, 1]
          warp 12: [55828, 55829, 0, 1]
          warp 13: [55828, 55829, 0, 1]
          warp 14: [55828, 55829, 0, 1]
          warp 15: [55828, 55829, 0, 1]
          warp 16: [55828, 55829, 0, 1]
          warp 17: [55828, 55829, 0, 1]
          warp 18: [55828, 55829, 0, 1]
          warp 19: [55828, 55829, 0, 1]
          warp 20: [55828, 55829, 0, 1]
          warp 21: [55828, 55829, 0, 1]
          warp 22: [55828, 55829, 0, 1]
          warp 23: [55828, 55829, 0, 1]
          warp 24: [55828, 55829, 0, 1]
          warp 25: [55828, 55829, 0, 1]
          warp 26: [55828, 55829, 0, 1]
          warp 27: [55828, 55829, 0, 1]
          warp 28: [55828, 55829, 0, 1]
          warp 29: [55828, 55829, 0, 1]
          warp 30: [55828, 55829, 0, 1]
          warp 31: [55828, 55829, 0, 1]
Finish block   22: [3, 55828, 55829, 0, 0, 0]
          warp  0: [55828, 55829, 0, 1]
          warp  1: [55828, 55829, 0, 1]
          warp  2: [55828, 55829, 0, 1]
          warp  3: [55828, 55829, 0, 1]
          warp  4: [55828, 55829, 0, 1]
          warp  5: [55828, 55829, 0, 1]
          warp  6: [55828, 55829, 0, 1]
          warp  7: [55828, 55829, 0, 1]
          warp  8: [55828, 55829, 0, 1]
          warp  9: [55828, 55829, 0, 1]
          warp 10: [55828, 55829, 0, 1]
          warp 11: [55828, 55829, 0, 1]
          warp 12: [55828, 55829, 0, 1]
          warp 13: [55828, 55829, 0, 1]
          warp 14: [55828, 55829, 0, 1]
          warp 15: [55828, 55829, 0, 1]
          warp 16: [55828, 55829, 0, 1]
          warp 17: [55828, 55829, 0, 1]
          warp 18: [55828, 55829, 0, 1]
          warp 19: [55828, 55829, 0, 1]
          warp 20: [55828, 55829, 0, 1]
          warp 21: [55828, 55829, 0, 1]
          warp 22: [55828, 55829, 0, 1]
          warp 23: [55828, 55829, 0, 1]
          warp 24: [55828, 55829, 0, 1]
          warp 25: [55828, 55829, 0, 1]
          warp 26: [55828, 55829, 0, 1]
          warp 27: [55828, 55829, 0, 1]
          warp 28: [55828, 55829, 0, 1]
          warp 29: [55828, 55829, 0, 1]
          warp 30: [55828, 55829, 0, 1]
          warp 31: [55828, 55829, 0, 1]
Finish block   24: [4, 55828, 55829, 0, 0, 0]
          warp  0: [55828, 55829, 0, 1]
          warp  1: [55828, 55829, 0, 1]
          warp  2: [55828, 55829, 0, 1]
          warp  3: [55828, 55829, 0, 1]
          warp  4: [55828, 55829, 0, 1]
          warp  5: [55828, 55829, 0, 1]
          warp  6: [55828, 55829, 0, 1]
          warp  7: [55828, 55829, 0, 1]
          warp  8: [55828, 55829, 0, 1]
          warp  9: [55828, 55829, 0, 1]
          warp 10: [55828, 55829, 0, 1]
          warp 11: [55828, 55829, 0, 1]
          warp 12: [55828, 55829, 0, 1]
          warp 13: [55828, 55829, 0, 1]
          warp 14: [55828, 55829, 0, 1]
          warp 15: [55828, 55829, 0, 1]
          warp 16: [55828, 55829, 0, 1]
          warp 17: [55828, 55829, 0, 1]
          warp 18: [55828, 55829, 0, 1]
          warp 19: [55828, 55829, 0, 1]
          warp 20: [55828, 55829, 0, 1]
          warp 21: [55828, 55829, 0, 1]
          warp 22: [55828, 55829, 0, 1]
          warp 23: [55828, 55829, 0, 1]
          warp 24: [55828, 55829, 0, 1]
          warp 25: [55828, 55829, 0, 1]
          warp 26: [55828, 55829, 0, 1]
          warp 27: [55828, 55829, 0, 1]
          warp 28: [55828, 55829, 0, 1]
          warp 29: [55828, 55829, 0, 1]
          warp 30: [55828, 55829, 0, 1]
          warp 31: [55828, 55829, 0, 1]
Finish block   26: [5, 55828, 55829, 0, 0, 0]
          warp  0: [55828, 55829, 0, 1]
          warp  1: [55828, 55829, 0, 1]
          warp  2: [55828, 55829, 0, 1]
          warp  3: [55828, 55829, 0, 1]
          warp  4: [55828, 55829, 0, 1]
          warp  5: [55828, 55829, 0, 1]
          warp  6: [55828, 55829, 0, 1]
          warp  7: [55828, 55829, 0, 1]
          warp  8: [55828, 55829, 0, 1]
          warp  9: [55828, 55829, 0, 1]
          warp 10: [55828, 55829, 0, 1]
          warp 11: [55828, 55829, 0, 1]
          warp 12: [55828, 55829, 0, 1]
          warp 13: [55828, 55829, 0, 1]
          warp 14: [55828, 55829, 0, 1]
          warp 15: [55828, 55829, 0, 1]
          warp 16: [55828, 55829, 0, 1]
          warp 17: [55828, 55829, 0, 1]
          warp 18: [55828, 55829, 0, 1]
          warp 19: [55828, 55829, 0, 1]
          warp 20: [55828, 55829, 0, 1]
          warp 21: [55828, 55829, 0, 1]
          warp 22: [55828, 55829, 0, 1]
          warp 23: [55828, 55829, 0, 1]
          warp 24: [55828, 55829, 0, 1]
          warp 25: [55828, 55829, 0, 1]
          warp 26: [55828, 55829, 0, 1]
          warp 27: [55828, 55829, 0, 1]
          warp 28: [55828, 55829, 0, 1]
          warp 29: [55828, 55829, 0, 1]
